absolute_timestamp,gyro_x,gyro_y,gyro_z
1775858385420,0.008,-0.004,-0.007
1775858385440,0.003,-0.004,-0.004
1775858385460,0.001,-0.002,0.002
1775858385480,0.000,0.000,0.006
1775858385499,0.000,0.000,0.006
1775858385519,0.000,0.000,0.006
1775858385539,-0.001,-0.001,0.005
1775858385559,-0.001,-0.002,0.003
1775858385579,0.000,-0.004,0.003
1775858385598,0.002,-0.005,-0.001
1775858385618,0.001,-0.007,-0.006
1775858385638,-0.001,-0.008,-0.009
1775858385658,-0.003,-0.009,-0.012
1775858385677,-0.004,-0.009,-0.014
1775858385697,-0.006,-0.010,-0.012
1775858385717,-0.004,-0.009,-0.010
1775858385737,-0.002,-0.010,-0.007
1775858385756,-0.002,-0.007,-0.005
1775858385776,0.000,-0.003,-0.004
1775858385796,0.002,-0.000,-0.004
1775858385816,0.004,0.001,-0.002
1775858385835,0.008,0.004,-0.005
1775858385855,0.013,0.001,-0.011
1775858385875,0.016,-0.000,-0.019
1775858385895,0.018,-0.003,-0.024
1775858385915,0.022,-0.008,-0.031
1775858385934,0.026,-0.013,-0.038
1775858385954,0.028,-0.017,-0.044
1775858385974,0.027,-0.020,-0.045
1775858385994,0.023,-0.022,-0.043
1775858386013,0.016,-0.024,-0.049
1775858386033,0.009,-0.028,-0.055
1775858386053,0.004,-0.032,-0.061
1775858386073,-0.000,-0.034,-0.074
1775858386092,-0.003,-0.038,-0.083
1775858386112,-0.006,-0.039,-0.087
1775858386132,-0.013,-0.038,-0.092
1775858386152,-0.017,-0.036,-0.097
1775858386171,-0.021,-0.036,-0.091
1775858386191,-0.027,-0.031,-0.081
1775858386211,-0.031,-0.028,-0.069
